direction,section,streetname1,streetname2,point_latitude,point_longitude
SW,BKN011,MANHATTAN AV,KENT ST,40.730701,-73.954559
N,BKN011,LORIMER ST,MESEROLE AV,40.727005,-73.953476
SW,BKN011,MANHATTAN AV,DUPONT ST,40.735714,-73.95533
E,BKN011,MANHATTAN AV,CALYER ST,40.728062,-73.953026
SE,BKN011,MANHATTAN AV,DUPONT ST,40.735752,-73.954933
NE,BKN011,MANHATTAN AV,GREENPOINT AV,40.730343,-73.954063
S,BKN011,N 11 ST,DRIGGS AV,40.719036,-73.953987
SE,BKN011,FRANKLIN ST,INDIA ST,40.731888,-73.957726
E,BKN011,BEDFORD AV,N 11 ST,40.720058,-73.955093
SE,BKN011,MANHATTAN AV,CLAY ST,40.736443,-73.955093
SE,BKN011,MANHATTAN AV,KENT ST,40.730747,-73.954155
N,BKN011,BEDFORD AV,N 10 ST,40.719677,-73.955978
W,BKN011,MANHATTAN AV,MESEROLE AV,40.727158,-73.952919
NW,BKN011,MANHATTAN AV,MILTON ST,40.72958,-73.954338
W,BKN011,MANHATTAN AV,NASSAU AV,40.723827,-73.950989
